year,all_infant_deaths_all_mothers,all_infant_deaths_all_races__hispanic,all_infant_deaths_all_races__hispanic__central_and_south_american,all_infant_deaths_all_races__hispanic__cuban,all_infant_deaths_all_races__hispanic__mexican,all_infant_deaths_all_races__hispanic__other,all_infant_deaths_all_races__hispanic__puerto_rican,all_infant_deaths_american_indian_and_alaska_native,all_infant_deaths_american_indian_and_alaska_native__non-hispanic,all_infant_deaths_american_indian_and_alaska_native_only,all_infant_deaths_american_indian_and_alaska_native_only__non-hispanic,all_infant_deaths_asian_only__non-hispanic,all_infant_deaths_asian_or_pacific_islander,all_infant_deaths_asian_or_pacific_islander__non-hispanic,all_infant_deaths_black,all_infant_deaths_black__non-hispanic,all_infant_deaths_black_only,all_infant_deaths_black_only__non-hispanic,all_infant_deaths_native_hawaiian_or_other_pacific_islander_only__non-hispanic,all_infant_deaths_white,all_infant_deaths_white__non-hispanic,all_infant_deaths_white_only,all_infant_deaths_white_only__non-hispanic,neonatal_deaths_all_mothers,neonatal_deaths_all_races__hispanic,neonatal_deaths_all_races__hispanic__central_and_south_american,neonatal_deaths_all_races__hispanic__cuban,neonatal_deaths_all_races__hispanic__mexican,neonatal_deaths_all_races__hispanic__other,neonatal_deaths_all_races__hispanic__puerto_rican,neonatal_deaths_american_indian_and_alaska_native,neonatal_deaths_american_indian_and_alaska_native__non-hispanic,neonatal_deaths_american_indian_and_alaska_native_only,neonatal_deaths_american_indian_and_alaska_native_only__non-hispanic,neonatal_deaths_asian_only__non-hispanic,neonatal_deaths_asian_or_pacific_islander,neonatal_deaths_asian_or_pacific_islander__non-hispanic,neonatal_deaths_black,neonatal_deaths_black__non-hispanic,neonatal_deaths_black_only,neonatal_deaths_black_only__non-hispanic,neonatal_deaths_native_hawaiian_or_other_pacific_islander_only__non-hispanic,neonatal_deaths_white,neonatal_deaths_white__non-hispanic,neonatal_deaths_white_only,neonatal_deaths_white_only__non-hispanic,postneonatal_deaths_all_mothers,postneonatal_deaths_all_races__hispanic,postneonatal_deaths_all_races__hispanic__central_and_south_american,postneonatal_deaths_all_races__hispanic__cuban,postneonatal_deaths_all_races__hispanic__mexican,postneonatal_deaths_all_races__hispanic__other,postneonatal_deaths_all_races__hispanic__puerto_rican,postneonatal_deaths_american_indian_and_alaska_native,postneonatal_deaths_american_indian_and_alaska_native__non-hispanic,postneonatal_deaths_american_indian_and_alaska_native_only,postneonatal_deaths_american_indian_and_alaska_native_only__non-hispanic,postneonatal_deaths_asian_only__non-hispanic,postneonatal_deaths_asian_or_pacific_islander,postneonatal_deaths_asian_or_pacific_islander__non-hispanic,postneonatal_deaths_black,postneonatal_deaths_black__non-hispanic,postneonatal_deaths_black_only,postneonatal_deaths_black_only__non-hispanic,postneonatal_deaths_native_hawaiian_or_other_pacific_islander_only__non-hispanic,postneonatal_deaths_white,postneonatal_deaths_white__non-hispanic,postneonatal_deaths_white_only,postneonatal_deaths_white_only__non-hispanic,asthma_episode/attack_all_ages,asthma_episode/attack_asian,asthma_episode/attack_black,asthma_episode/attack_female,asthma_episode/attack_other,asthma_episode/attack_white,cervical_cancer_all_ages,cervical_cancer_asian,cervical_cancer_black,cervical_cancer_female,cervical_cancer_other,cervical_cancer_white,copd__emphysema__chronic_bronchitis_all_ages,copd__emphysema__chronic_bronchitis_asian,copd__emphysema__chronic_bronchitis_black,copd__emphysema__chronic_bronchitis_female,copd__emphysema__chronic_bronchitis_other,copd__emphysema__chronic_bronchitis_white,coronary_heart_disease_all_ages,coronary_heart_disease_asian,coronary_heart_disease_black,coronary_heart_disease_female,coronary_heart_disease_other,coronary_heart_disease_white,current_cigarette_smoking_all_ages,current_cigarette_smoking_asian,current_cigarette_smoking_black,current_cigarette_smoking_female,current_cigarette_smoking_other,current_cigarette_smoking_white,diagnosed_diabetes__self-reported_all_ages,diagnosed_diabetes__self-reported_asian,diagnosed_diabetes__self-reported_black,diagnosed_diabetes__self-reported_female,diagnosed_diabetes__self-reported_other,diagnosed_diabetes__self-reported_white,hypertension_diagnosis__self-reported_all_ages,hypertension_diagnosis__self-reported_asian,hypertension_diagnosis__self-reported_black,hypertension_diagnosis__self-reported_female,hypertension_diagnosis__self-reported_other,hypertension_diagnosis__self-reported_white,obesity__self-reported_all_ages,obesity__self-reported_asian,obesity__self-reported_black,obesity__self-reported_female,obesity__self-reported_other,obesity__self-reported_white,total_weekly_wage,white_weekly_wage,black_weekly_wage,asian_weekly_wage,hispanic_weekly_wage,Data As Of,Jurisdiction,Group,Subgroup,Month of Death,Time Period,Month Ending Date,Maternal Deaths,Live Births,Maternal Mortality Rate,Footnote,college_col_white,college_mkt_white,college_dif_white,college_col_hispa,college_mkt_hispa,college_dif_hispa,college_col_black,college_mkt_black,college_dif_black,college_col_asian,college_mkt_asian,college_dif_asian,college_col_amind,college_mkt_amind,college_dif_amind,college_col_pacis,college_mkt_pacis,college_dif_pacis,college_col_twora,college_mkt_twora,college_dif_twora
2017,5.8,5.1,4.5,4.0,5.1,5.4,6.5,8.3,8.9,8.6,9.2,3.8,4.2,4.0,10.4,10.9,10.5,11.0,7.6,4.9,4.7,4.8,4.7,3.9,3.6,3.2,3.0,3.5,3.8,4.3,4.5,4.7,4.6,4.8,2.7,3.0,2.8,6.8,7.1,6.9,7.2,3.8,3.2,3.0,3.2,3.0,1.9,1.5,1.3,1.0,1.5,1.55,2.1,3.8,4.2,4.0,4.4,1.1,1.2,1.2,3.6,3.8,3.6,3.8,3.8,1.6,1.6,1.6,1.6,3.6,2.8100000000000005,5.734201680672269,4.9,5.199268164268164,4.9,0.95,0.1,0.55,0.95,0.9455882352941176,1.15,4.6,1.1544994944388272,4.280434782608696,5.05,6.4114130434782615,5.708695652173914,4.8,2.10593112244898,3.0645962732919254,3.6,4.606300860265055,3.9619343389529726,11.55,4.713896940418679,11.085292353823089,10.05,10.927801968580926,10.616011994002998,9.6,9.61320564516129,12.1875,9.2,11.194171502167954,8.665625,27.1,20.423605429013712,33.78763636363636,26.6,29.824862064251533,26.794517379679142,33.05,11.909669515879447,42.86866944350095,33.45,34.188111991734345,32.84273642772132,953.0555555555555,984.6111111111111,759.5555555555555,1168.9444444444443,722.1111111111111,,,,,6.5,,,252.92288359788358,1085294.6916666667,27.672395833333333,,49.61063723584416,58.24953021688312,-8.638893148116884,18.07355931305195,15.668644834610388,2.4049145564935066,18.479386259220778,12.935089396038961,5.544296829415585,3.3646683101948054,4.718605875779221,-1.35393761,2.486212201883117,1.2920316457142857,1.1941805537662338,0.31579348253246753,0.18454396727272726,0.13124950948051947,3.1152445383766234,2.546375702662338,0.5688688167532467
2018,5.7,4.9,4.0,3.8,4.9,5.4,5.6,7.7,8.1,7.7,8.1,3.6,4.1,3.9,10.3,10.6,10.5,10.7,9.4,4.8,4.7,4.7,4.6,3.8,3.4,3.0,2.7,3.4,3.7,4.0,4.1,4.0,4.1,4.1,2.7,2.9,2.8,6.8,6.9,6.9,7.1,5.4,3.2,3.0,3.2,3.0,1.9,1.4,1.0,1.1,1.5,1.6,1.6,3.7,4.1,3.6,4.0,1.0,1.1,1.1,3.6,3.7,3.6,3.7,4.0,1.6,1.7,1.5,1.6,3.6,2.8100000000000005,5.734201680672269,4.9,5.199268164268164,4.9,0.95,0.1,0.55,0.95,0.9455882352941176,1.15,4.6,1.1544994944388272,4.280434782608696,5.05,6.4114130434782615,5.708695652173914,4.8,2.10593112244898,3.0645962732919254,3.6,4.606300860265055,3.9619343389529726,11.55,4.713896940418679,11.085292353823089,10.05,10.927801968580926,10.616011994002998,9.6,9.61320564516129,12.1875,9.2,11.194171502167954,8.665625,27.1,20.423605429013712,33.78763636363636,26.6,29.824862064251533,26.794517379679142,33.05,11.909669515879447,42.86866944350095,33.45,34.188111991734345,32.84273642772132,958.2777777777778,989.7222222222222,753.8888888888889,1184.5,729.9444444444445,,,,,6.5,,,252.92288359788358,1085294.6916666667,27.672395833333333,,49.61063723584416,58.24953021688312,-8.638893148116884,18.07355931305195,15.668644834610388,2.4049145564935066,18.479386259220778,12.935089396038961,5.544296829415585,3.3646683101948054,4.718605875779221,-1.35393761,2.486212201883117,1.2920316457142857,1.1941805537662338,0.31579348253246753,0.18454396727272726,0.13124950948051947,3.1152445383766234,2.546375702662338,0.5688688167532467
2019,5.6,5.0,4.5,4.1,5.0,5.5,6.2,7.5,7.7,7.6,7.9,3.4,3.7,3.6,10.3,10.5,10.4,10.6,8.2,4.7,4.5,4.7,4.5,3.7,3.5,3.2,2.7,3.4,3.9,4.1,4.1,4.0,4.2,4.0,2.5,2.7,2.6,6.6,6.7,6.8,6.8,5.0,3.1,2.9,3.1,2.9,1.9,1.5,1.3,1.4,1.5,1.6,2.0,3.4,3.7,3.4,3.9,0.9,1.0,1.0,3.6,3.8,3.6,3.8,3.2,1.6,1.6,1.5,1.6,3.4,1.6823529411764708,5.694117647058825,4.4,4.6858647936786655,4.4,1.1,0.3,0.5,1.1,1.0953846153846154,1.3,4.6,1.3304347826086957,4.21304347826087,5.1,6.6163043478260875,5.765217391304348,4.6,2.0695652173913044,3.2521739130434786,3.4,4.404347826086957,3.695652173913044,14.0,6.531428571428571,13.425714285714287,12.7,13.55061076604555,13.244285714285715,9.3,9.0,12.0,9.3,11.455882352941176,8.8,27.0,19.627037037037034,34.47185185185185,26.9,30.89799470899471,26.99962962962963,32.1,10.3,40.6,32.1,32.81142857142857,31.9,991.1333333333333,1018.4,797.2666666666667,1276.2666666666667,756.4666666666667,,,,,6.5,,,242.69230769230768,1117610.7333333334,25.907291666666666,,49.61063723584416,58.24953021688312,-8.638893148116884,18.07355931305195,15.668644834610388,2.4049145564935066,18.479386259220778,12.935089396038961,5.544296829415585,3.3646683101948054,4.718605875779221,-1.35393761,2.486212201883117,1.2920316457142857,1.1941805537662338,0.31579348253246753,0.18454396727272726,0.13124950948051947,3.1152445383766234,2.546375702662338,0.5688688167532467
2020,5.4,4.7,3.9,4.2,4.7,4.9,6.3,7.5,7.7,7.7,7.7,3.1,3.7,3.6,10.3,10.5,10.0,10.4,7.2,4.7,4.5,4.5,4.4,3.6,3.3,2.8,2.7,3.3,3.2,4.4,4.1,4.0,4.0,3.8,2.3,2.7,2.6,6.6,6.7,6.4,6.6,4.3,3.1,2.9,3.0,2.9,1.9,1.4,1.1,1.5,1.4,1.7,1.8,3.4,3.7,3.7,3.9,0.8,1.0,1.0,3.6,3.8,3.7,3.8,2.8,1.6,1.6,1.5,1.5,3.5,2.8200000000000003,5.774285714285715,4.7,5.047922077922078,4.7,1.0,0.0,0.6,1.0,0.9878787878787879,1.2,5.0,1.5679999999999998,5.263999999999999,5.6,7.024238805970149,6.271999999999999,4.6,2.206521739130435,3.0434782608695654,3.5,4.6067193675889335,3.956521739130435,12.5,6.952,12.495999999999999,11.0,11.970514285714286,11.088,9.3,9.178494623655913,11.733333333333334,8.8,10.932460651394734,8.043010752688172,26.6,20.290225563909775,34.0796992481203,26.2,29.736015037593983,26.2984962406015,33.0,10.32363636363636,45.03939393939393,33.4,34.12728138528138,32.69151515151514,1074.0,1096.25,867.3333333333334,1416.6666666666667,820.9166666666666,,,,,6.5,,,262.39814814814815,1096634.0916666666,29.4375,,49.61063723584416,58.24953021688312,-8.638893148116884,18.07355931305195,15.668644834610388,2.4049145564935066,18.479386259220778,12.935089396038961,5.544296829415585,3.3646683101948054,4.718605875779221,-1.35393761,2.486212201883117,1.2920316457142857,1.1941805537662338,0.31579348253246753,0.18454396727272726,0.13124950948051947,3.1152445383766234,2.546375702662338,0.5688688167532467
2021,5.4,4.8,4.2,3.6,4.9,4.7,6.1,7.5,7.7,7.0,7.5,3.7,3.7,3.6,10.3,10.5,10.1,10.5,7.8,4.7,4.5,4.5,4.4,3.5,3.3,2.9,2.8,3.4,3.1,3.9,4.1,4.0,3.8,3.8,2.8,2.7,2.6,6.6,6.7,6.1,6.4,4.3,3.1,2.9,3.0,2.8,1.9,1.5,1.3,1.5,1.5,1.6,2.1,3.4,3.7,3.2,3.7,0.9,1.0,1.0,3.6,3.8,4.0,4.2,3.4,1.6,1.6,1.6,1.6,3.3,2.8000000000000003,4.9333333333333345,4.4,4.67843137254902,4.4,1.0,0.2,0.2,1.0,0.944776119402985,1.2,4.6,0.9217391304347826,4.839130434782609,5.3,6.69616368286445,5.9913043478260875,4.9,2.130612244897959,3.6734693877551017,3.6,4.605882352941176,3.893877551020408,11.5,4.742608695652174,10.187826086956521,10.1,10.993534971644612,10.71478260869565,9.6,9.0,12.375,9.0,10.81929347826087,8.25,26.9,19.59925650557621,33.47397769516729,26.1,29.45987254381307,26.488104089219334,32.8,11.067073170731707,44.26829268292683,33.0,33.53035714285715,32.49695121951219,1071.5555555555557,1093.3333333333333,856.0,1397.6666666666667,824.8888888888889,,,,,6.5,,,327.60185185185185,1067750.4583333333,42.891176470588235,,49.61063723584416,58.24953021688312,-8.638893148116884,18.07355931305195,15.668644834610388,2.4049145564935066,18.479386259220778,12.935089396038961,5.544296829415585,3.3646683101948054,4.718605875779221,-1.35393761,2.486212201883117,1.2920316457142857,1.1941805537662338,0.31579348253246753,0.18454396727272726,0.13124950948051947,3.1152445383766234,2.546375702662338,0.5688688167532467
2022,5.4,4.8,4.2,3.6,4.9,4.7,6.1,7.5,7.7,7.0,7.5,3.7,3.7,3.6,10.3,10.5,10.1,10.5,7.8,4.7,4.5,4.5,4.4,3.5,3.3,2.9,2.8,3.4,3.1,3.9,4.1,4.0,3.8,3.8,2.8,2.7,2.6,6.6,6.7,6.1,6.4,4.3,3.1,2.9,3.0,2.8,1.9,1.5,1.3,1.5,1.5,1.6,2.1,3.4,3.7,3.2,3.7,0.9,1.0,1.0,3.6,3.8,4.0,4.2,3.4,1.6,1.6,1.6,1.6,3.7,2.6189189189189186,5.513513513513513,5.1,5.3506142506142504,5.1,0.8,0.0,0.1,0.8,0.8073529411764706,1.0,4.6,1.3043478260869568,4.347826086956522,5.0,6.2065217391304355,5.652173913043479,4.9,2.7918367346938773,3.0857142857142854,3.6,4.581032412965186,3.9673469387755103,11.6,3.9655172413793105,11.982758620689657,10.0,10.862068965517242,10.517241379310345,9.6,10.047916666666666,11.659375,9.1,10.82297794117647,8.53125,27.2,20.55698529411765,33.51470588235294,26.5,29.71646533613445,26.694852941176467,33.1,12.752265861027189,43.31722054380664,33.5,34.24894259818731,32.99395770392749,1079.0,1099.1666666666667,896.3333333333334,1427.0,840.8333333333334,,,,,6.5,,,359.3240740740741,1091185.1333333333,44.77019230769231,,49.61063723584416,58.24953021688312,-8.638893148116884,18.07355931305195,15.668644834610388,2.4049145564935066,18.479386259220778,12.935089396038961,5.544296829415585,3.3646683101948054,4.718605875779221,-1.35393761,2.486212201883117,1.2920316457142857,1.1941805537662338,0.31579348253246753,0.18454396727272726,0.13124950948051947,3.1152445383766234,2.546375702662338,0.5688688167532467
2023,5.4,4.8,4.2,3.6,4.9,4.7,6.1,7.5,7.7,7.0,7.5,3.7,3.7,3.6,10.3,10.5,10.1,10.5,7.8,4.7,4.5,4.5,4.4,3.5,3.3,2.9,2.8,3.4,3.1,3.9,4.1,4.0,3.8,3.8,2.8,2.7,2.6,6.6,6.7,6.1,6.4,4.3,3.1,2.9,3.0,2.8,1.9,1.5,1.3,1.5,1.5,1.6,2.1,3.4,3.7,3.2,3.7,0.9,1.0,1.0,3.6,3.8,4.0,4.2,3.4,1.6,1.6,1.6,1.6,3.8,3.0868421052631576,5.905263157894737,5.1,5.5934210526315775,5.1,0.9,0.1,0.6,0.9,0.9455882352941176,1.1,4.3,1.0046511627906978,3.9069767441860463,4.8,6.090287277701779,5.5813953488372094,4.8,2.0812500000000003,2.8520833333333337,3.7,4.702083333333334,4.1625000000000005,10.8,4.685185185185184,9.88148148148148,9.2,9.896296296296295,9.625925925925925,9.8,10.089795918367347,12.538775510204081,9.6,11.544777911164465,8.816326530612244,27.5,21.651272727272726,33.78763636363636,26.7,29.913709090909087,26.894181818181817,33.8,13.181952662721896,42.42011834319526,33.5,34.26174978867287,33.202662721893496,1108.0,1128.0,926.3333333333334,1469.3333333333333,863.0,,,,,6.5,,,243.44761904761904,1079404.25,25.889583333333334,,49.61063723584416,58.24953021688312,-8.638893148116884,18.07355931305195,15.668644834610388,2.4049145564935066,18.479386259220778,12.935089396038961,5.544296829415585,3.3646683101948054,4.718605875779221,-1.35393761,2.486212201883117,1.2920316457142857,1.1941805537662338,0.31579348253246753,0.18454396727272726,0.13124950948051947,3.1152445383766234,2.546375702662338,0.5688688167532467
2024,5.4,4.8,4.2,3.6,4.9,4.7,6.1,7.5,7.7,7.0,7.5,3.7,3.7,3.6,10.3,10.5,10.1,10.5,7.8,4.7,4.5,4.5,4.4,3.5,3.3,2.9,2.8,3.4,3.1,3.9,4.1,4.0,3.8,3.8,2.8,2.7,2.6,6.6,6.7,6.1,6.4,4.3,3.1,2.9,3.0,2.8,1.9,1.5,1.3,1.5,1.5,1.6,2.1,3.4,3.7,3.2,3.7,0.9,1.0,1.0,3.6,3.8,4.0,4.2,3.4,1.6,1.6,1.6,1.6,3.8,3.0868421052631576,5.905263157894737,5.1,5.5934210526315775,5.1,0.9,0.1,0.6,0.9,0.9455882352941176,1.1,4.3,1.0046511627906978,3.9069767441860463,4.8,6.090287277701779,5.5813953488372094,4.8,2.0812500000000003,2.8520833333333337,3.7,4.702083333333334,4.1625000000000005,10.8,4.685185185185184,9.88148148148148,9.2,9.896296296296295,9.625925925925925,9.8,10.089795918367347,12.538775510204081,9.6,11.544777911164465,8.816326530612244,27.5,21.651272727272726,33.78763636363636,26.7,29.913709090909087,26.894181818181817,33.8,13.181952662721896,42.42011834319526,33.5,34.26174978867287,33.202662721893496,1108.0,1128.0,926.3333333333334,1469.3333333333333,863.0,,,,,3.5,,,219.39285714285714,1069559.6666666667,25.444000000000003,,49.61063723584416,58.24953021688312,-8.638893148116884,18.07355931305195,15.668644834610388,2.4049145564935066,18.479386259220778,12.935089396038961,5.544296829415585,3.3646683101948054,4.718605875779221,-1.35393761,2.486212201883117,1.2920316457142857,1.1941805537662338,0.31579348253246753,0.18454396727272726,0.13124950948051947,3.1152445383766234,2.546375702662338,0.5688688167532467
